session_id,user_id,date,week,template_id,exercise_key,exercise_name,plan_tag,planned_weight_lb,planned_sets,planned_target_reps,rep_range_low,rep_range_high,performed_reps_min,performed_reps_max,performed_rpe_max,success,missed_reps,body_weight_lb,readiness_0to100,cycle_day
U001_2025-10-06,U001,2025-10-06,1,A,squat,Back Squat,baseline,95.0,3,5,,,5,5,7.3,True,False,150.1,58,
U001_2025-10-06,U001,2025-10-06,1,A,bench,Barbell Bench Press,baseline,75.0,3,5,,,5,5,7.4,True,False,150.1,58,
U001_2025-10-06,U001,2025-10-06,1,A,row,Barbell Row,baseline,65.0,3,8,,,8,8,7.1,True,False,150.1,58,
U001_2025-10-06,U001,2025-10-06,1,A,plank,Plank,baseline,0.0,3,45,,,47,49,6.6,True,False,150.1,58,
U001_2025-10-08,U001,2025-10-08,1,B,squat,Back Squat,linear_add_load,105.0,3,5,,,5,5,7.2,True,False,150.3,67,
U001_2025-10-08,U001,2025-10-08,1,B,ohp,Overhead Press,baseline,55.0,3,5,,,5,5,7.0,True,False,150.3,67,
U001_2025-10-08,U001,2025-10-08,1,B,deadlift,Deadlift,baseline,135.0,1,5,,,5,5,6.8,True,False,150.3,67,
U001_2025-10-08,U001,2025-10-08,1,B,pulldown,Lat Pulldown,baseline,70.0,3,10,8.0,12.0,11,11,7.1,True,False,150.3,67,
U001_2025-10-10,U001,2025-10-10,1,A,squat,Back Squat,linear_add_load,115.0,3,5,,,5,5,6.9,True,False,149.8,68,
U001_2025-10-10,U001,2025-10-10,1,A,bench,Barbell Bench Press,linear_add_load,80.0,3,5,,,5,5,7.0,True,False,149.8,68,
U001_2025-10-10,U001,2025-10-10,1,A,row,Barbell Row,linear_add_load,70.0,3,8,,,8,8,7.1,True,False,149.8,68,
U001_2025-10-10,U001,2025-10-10,1,A,plank,Plank,linear_add_load,0.0,3,45,,,37,48,6.3,False,False,149.8,68,
U001_2025-10-13,U001,2025-10-13,2,B,squat,Back Squat,linear_add_load,120.0,3,5,,,5,5,7.4,True,False,150.4,55,
U001_2025-10-13,U001,2025-10-13,2,B,ohp,Overhead Press,linear_add_load,60.0,3,5,,,5,5,7.5,True,False,150.4,55,
U001_2025-10-13,U001,2025-10-13,2,B,deadlift,Deadlift,linear_add_load,145.0,1,5,,,5,5,7.3,True,False,150.4,55,
U001_2025-10-13,U001,2025-10-13,2,B,pulldown,Lat Pulldown,double_progression_add_reps,70.0,3,10,8.0,12.0,11,12,7.2,True,False,150.4,55,
U001_2025-10-15,U001,2025-10-15,2,A,squat,Back Squat,linear_add_load,125.0,3,5,,,5,5,7.4,True,False,150.6,64,
U001_2025-10-15,U001,2025-10-15,2,A,bench,Barbell Bench Press,linear_add_load,85.0,3,5,,,5,5,7.2,True,False,150.6,64,
U001_2025-10-15,U001,2025-10-15,2,A,row,Barbell Row,linear_add_load,75.0,3,8,,,8,8,7.1,True,False,150.6,64,
U001_2025-10-15,U001,2025-10-15,2,A,plank,Plank,repeat_after_failure,0.0,3,45,,,39,55,6.3,False,False,150.6,64,
U001_2025-10-17,U001,2025-10-17,2,B,squat,Back Squat,linear_add_load,130.0,3,5,,,5,5,7.3,True,False,150.2,63,
U001_2025-10-17,U001,2025-10-17,2,B,ohp,Overhead Press,linear_add_load,65.0,3,5,,,5,5,6.9,True,False,150.2,63,
U001_2025-10-17,U001,2025-10-17,2,B,deadlift,Deadlift,linear_add_load,155.0,1,5,,,5,5,7.2,True,False,150.2,63,
U001_2025-10-17,U001,2025-10-17,2,B,pulldown,Lat Pulldown,double_progression_add_reps,70.0,3,10,8.0,12.0,11,12,7.3,True,False,150.2,63,
U001_2025-10-20,U001,2025-10-20,3,A,squat,Back Squat,linear_add_load,135.0,3,5,,,5,5,7.2,True,False,150.4,57,
U001_2025-10-20,U001,2025-10-20,3,A,bench,Barbell Bench Press,linear_add_load,90.0,3,5,,,5,5,7.1,True,False,150.4,57,
U001_2025-10-20,U001,2025-10-20,3,A,row,Barbell Row,linear_add_load,80.0,3,8,,,8,8,7.3,True,False,150.4,57,
U001_2025-10-20,U001,2025-10-20,3,A,plank,Plank,repeat_after_failure,0.0,3,45,,,37,46,6.7,False,False,150.4,57,
U001_2025-10-22,U001,2025-10-22,3,B,squat,Back Squat,linear_add_load,140.0,3,5,,,5,5,7.0,True,False,150.7,71,
U001_2025-10-22,U001,2025-10-22,3,B,ohp,Overhead Press,linear_add_load,70.0,3,5,,,5,5,6.9,True,False,150.7,71,
U001_2025-10-22,U001,2025-10-22,3,B,deadlift,Deadlift,linear_add_load,165.0,1,5,,,5,5,7.0,True,False,150.7,71,
U001_2025-10-22,U001,2025-10-22,3,B,pulldown,Lat Pulldown,double_progression_add_reps,70.0,3,10,8.0,12.0,12,12,7.1,True,False,150.7,71,
U001_2025-10-24,U001,2025-10-24,3,A,squat,Back Squat,linear_add_load,145.0,3,5,,,5,5,7.1,True,False,150.6,65,
U001_2025-10-24,U001,2025-10-24,3,A,bench,Barbell Bench Press,linear_add_load,95.0,3,5,,,5,5,7.0,True,False,150.6,65,
U001_2025-10-24,U001,2025-10-24,3,A,row,Barbell Row,linear_add_load,85.0,3,8,,,8,8,7.1,True,False,150.6,65,
U001_2025-10-24,U001,2025-10-24,3,A,plank,Plank,repeat_after_failure,0.0,3,45,,,37,54,6.3,False,False,150.6,65,
U001_2025-10-27,U001,2025-10-27,4,B,squat,Back Squat,linear_add_load,150.0,3,5,,,5,5,6.9,True,False,151.1,69,
U001_2025-10-27,U001,2025-10-27,4,B,ohp,Overhead Press,linear_add_load,72.5,3,5,,,5,5,6.9,True,False,151.1,69,
U001_2025-10-27,U001,2025-10-27,4,B,deadlift,Deadlift,linear_add_load,170.0,1,5,,,5,5,6.9,True,False,151.1,69,
U001_2025-10-27,U001,2025-10-27,4,B,pulldown,Lat Pulldown,double_progression_add_load,75.0,3,10,8.0,12.0,12,12,6.9,True,False,151.1,69,
U001_2025-10-29,U001,2025-10-29,4,A,squat,Back Squat,linear_add_load,155.0,3,5,,,5,5,7.0,True,False,151.4,65,
U001_2025-10-29,U001,2025-10-29,4,A,bench,Barbell Bench Press,linear_add_load,100.0,3,5,,,5,5,7.2,True,False,151.4,65,
U001_2025-10-29,U001,2025-10-29,4,A,row,Barbell Row,linear_add_load,90.0,3,8,,,8,8,7.0,True,False,151.4,65,
U001_2025-10-29,U001,2025-10-29,4,A,plank,Plank,repeat_after_failure,0.0,3,45,,,42,51,6.3,False,False,151.4,65,
U001_2025-10-31,U001,2025-10-31,4,B,squat,Back Squat,linear_add_load,160.0,3,5,,,5,5,7.7,True,False,151.4,61,
U001_2025-10-31,U001,2025-10-31,4,B,ohp,Overhead Press,linear_add_load,75.0,3,5,,,5,5,7.2,True,False,151.4,61,
U001_2025-10-31,U001,2025-10-31,4,B,deadlift,Deadlift,linear_add_load,175.0,1,5,,,5,5,7.2,True,False,151.4,61,
U001_2025-10-31,U001,2025-10-31,4,B,pulldown,Lat Pulldown,double_progression_add_load,80.0,3,10,8.0,12.0,12,12,7.1,True,False,151.4,61,
U001_2025-11-03,U001,2025-11-03,5,A,squat,Back Squat,linear_add_load,165.0,3,5,,,5,5,7.2,True,False,151.1,66,
U001_2025-11-03,U001,2025-11-03,5,A,bench,Barbell Bench Press,linear_add_load,105.0,3,5,,,5,5,7.0,True,False,151.1,66,
U001_2025-11-03,U001,2025-11-03,5,A,row,Barbell Row,linear_add_load,95.0,3,8,,,8,8,7.1,True,False,151.1,66,
U001_2025-11-03,U001,2025-11-03,5,A,plank,Plank,repeat_after_failure,0.0,3,45,,,42,50,6.4,False,False,151.1,66,
U001_2025-11-05,U001,2025-11-05,5,B,squat,Back Squat,linear_add_load,170.0,3,5,,,5,5,7.2,True,False,151.1,60,
U001_2025-11-05,U001,2025-11-05,5,B,ohp,Overhead Press,linear_add_load,77.5,3,5,,,5,5,7.1,True,False,151.1,60,
U001_2025-11-05,U001,2025-11-05,5,B,deadlift,Deadlift,linear_add_load,180.0,1,5,,,5,5,7.1,True,False,151.1,60,
