test_id,user_id,date,category,lift,decision,prescribed_weight_lb,target_reps,adjustment_kind,plate_profile
U301-2025-09-01-benchmicro,U301,2025-09-01,microloading,bench,estimate,142.5,5,none,micro_1.25
U301-2025-09-01-benchmicro,U301,2025-09-01,microloading,ohp,estimate,80.0,6,none,micro_1.25
U301-2025-09-03-benchmicro,U301,2025-09-03,microloading,bench,increase,145.0,5,none,standard_2.5
U301-2025-09-03-benchmicro,U301,2025-09-03,microloading,ohp,hold,80.0,6,none,standard_2.5
U301-2025-09-05-benchmicro,U301,2025-09-05,microloading,bench,hold,145.0,5,none,kg_0.5
U301-2025-09-05-benchmicro,U301,2025-09-05,microloading,ohp,hold,80.0,6,none,kg_0.5
U301-2025-09-08-benchmicro,U301,2025-09-08,microloading,bench,hold,145.0,5,none,no_microplates
U301-2025-09-08-benchmicro,U301,2025-09-08,microloading,ohp,increase,82.5,6,none,no_microplates
U301-2025-09-10-benchmicro,U301,2025-09-10,microloading,bench,increase,146.25,5,none,micro_1.25
U301-2025-09-10-benchmicro,U301,2025-09-10,microloading,ohp,increase,83.75,6,none,micro_1.25
U301-2025-09-12-benchmicro,U301,2025-09-12,microloading,bench,hold,146.25,5,none,standard_2.5
U301-2025-09-12-benchmicro,U301,2025-09-12,microloading,ohp,hold,83.75,6,none,standard_2.5
U301-2025-09-15-benchmicro,U301,2025-09-15,microloading,bench,hold,146.25,5,none,kg_0.5
U301-2025-09-15-benchmicro,U301,2025-09-15,microloading,ohp,hold,83.75,6,none,kg_0.5
U301-2025-09-17-benchmicro,U301,2025-09-17,microloading,bench,hold,146.25,5,none,no_microplates
U301-2025-09-17-benchmicro,U301,2025-09-17,microloading,ohp,hold,83.75,6,none,no_microplates
U301-2025-09-19-benchmicro,U301,2025-09-19,microloading,bench,hold,146.25,5,none,micro_1.25
U301-2025-09-19-benchmicro,U301,2025-09-19,microloading,ohp,increase,85.0,6,none,micro_1.25
U301-2025-09-22-benchmicro,U301,2025-09-22,microloading,bench,hold,146.25,5,none,standard_2.5
U301-2025-09-22-benchmicro,U301,2025-09-22,microloading,ohp,hold,85.0,6,none,standard_2.5
U301-2025-09-24-benchmicro,U301,2025-09-24,microloading,bench,increase,147.668,5,none,kg_0.5
U301-2025-09-24-benchmicro,U301,2025-09-24,microloading,ohp,increase,85.956,6,none,kg_0.5
U301-2025-09-26-benchmicro,U301,2025-09-26,microloading,bench,hold,147.668,5,none,no_microplates
U301-2025-09-26-benchmicro,U301,2025-09-26,microloading,ohp,hold,85.956,6,none,no_microplates
U301-2025-09-29-benchmicro,U301,2025-09-29,microloading,bench,hold,147.668,5,none,micro_1.25
U301-2025-09-29-benchmicro,U301,2025-09-29,microloading,ohp,increase,87.5,6,none,micro_1.25
U301-2025-10-01-benchmicro,U301,2025-10-01,microloading,bench,increase,150.0,5,none,standard_2.5
U301-2025-10-01-benchmicro,U301,2025-10-01,microloading,ohp,increase,90.0,6,none,standard_2.5
U301-2025-10-03-benchmicro,U301,2025-10-03,microloading,bench,hold,150.0,5,none,kg_0.5
U301-2025-10-03-benchmicro,U301,2025-10-03,microloading,ohp,hold,90.0,6,none,kg_0.5
U301-2025-10-06-benchmicro,U301,2025-10-06,microloading,bench,hold,150.0,5,none,no_microplates
U301-2025-10-06-benchmicro,U301,2025-10-06,microloading,ohp,hold,90.0,6,none,no_microplates
U301-2025-10-08-benchmicro,U301,2025-10-08,microloading,bench,hold,150.0,5,none,micro_1.25
U301-2025-10-08-benchmicro,U301,2025-10-08,microloading,ohp,hold,90.0,6,none,micro_1.25
U301-2025-10-10-benchmicro,U301,2025-10-10,microloading,bench,hold,150.0,5,none,standard_2.5
U301-2025-10-10-benchmicro,U301,2025-10-10,microloading,ohp,hold,90.0,6,none,standard_2.5
U301-2025-10-13-benchmicro,U301,2025-10-13,microloading,bench,hold,150.0,5,none,kg_0.5
U301-2025-10-13-benchmicro,U301,2025-10-13,microloading,ohp,hold,90.0,6,none,kg_0.5
U301-2025-10-15-benchmicro,U301,2025-10-15,microloading,bench,hold,150.0,5,none,no_microplates
U301-2025-10-15-benchmicro,U301,2025-10-15,microloading,ohp,hold,90.0,6,none,no_microplates
U301-2025-10-17-benchmicro,U301,2025-10-17,microloading,bench,hold,150.0,5,none,micro_1.25
U301-2025-10-17-benchmicro,U301,2025-10-17,microloading,ohp,hold,90.0,6,none,micro_1.25
U301-2025-10-20-benchmicro,U301,2025-10-20,microloading,bench,deload,135.0,5,deload,standard_2.5
U301-2025-10-20-benchmicro,U301,2025-10-20,microloading,ohp,hold,90.0,6,none,standard_2.5
U301-2025-10-22-benchmicro,U301,2025-10-22,microloading,bench,hold,135.0,5,none,kg_0.5
U301-2025-10-22-benchmicro,U301,2025-10-22,microloading,ohp,hold,90.0,6,none,kg_0.5
U301-2025-10-24-benchmicro,U301,2025-10-24,microloading,bench,hold,135.0,5,none,no_microplates
U301-2025-10-24-benchmicro,U301,2025-10-24,microloading,ohp,hold,90.0,6,none,no_microplates
U301-2025-10-27-benchmicro,U301,2025-10-27,microloading,bench,hold,135.0,5,none,micro_1.25
U301-2025-10-27-benchmicro,U301,2025-10-27,microloading,ohp,hold,90.0,6,none,micro_1.25
U301-2025-10-29-benchmicro,U301,2025-10-29,microloading,bench,hold,135.0,5,none,standard_2.5
U301-2025-10-29-benchmicro,U301,2025-10-29,microloading,ohp,increase,92.5,6,none,standard_2.5
U301-2025-10-31-benchmicro,U301,2025-10-31,microloading,bench,increase,136.64800000000002,5,none,kg_0.5
U301-2025-10-31-benchmicro,U301,2025-10-31,microloading,ohp,increase,93.67,6,none,kg_0.5
U301-2025-11-03-benchmicro,U301,2025-11-03,microloading,bench,hold,136.64800000000002,5,none,no_microplates
U301-2025-11-03-benchmicro,U301,2025-11-03,microloading,ohp,hold,93.67,6,none,no_microplates
U301-2025-11-05-benchmicro,U301,2025-11-05,microloading,bench,hold,136.64800000000002,5,none,micro_1.25
U301-2025-11-05-benchmicro,U301,2025-11-05,microloading,ohp,hold,93.67,6,none,micro_1.25
