user_id,date,session_type,lift,variation,substituted_to,sets,reps,weight_lb,decision,delta_lb,reason_code,bw_lb,sleep,hrv,rhr,soreness
U101,2025-10-06,FB_A,bench,,,3,5,138.75,hold,0.0,hold_at_target_rpe,112.2,6.4,55,67,3
U101,2025-10-06,FB_A,squat,,,3,5,183.75,hold,0.0,hold_at_target_rpe,112.2,6.4,55,67,3
U101,2025-10-08,FB_B,deadlift,,,3,5,226.25,hold,0.0,hold_at_target_rpe,112.1,6.4,59,54,4
U101,2025-10-08,FB_B,ohp,,,3,5,86.25,hold,0.0,hold_at_target_rpe,112.1,6.4,59,54,4
U101,2025-10-10,FB_A,bench,,,3,5,127.5,deload,-11.25,deload_fatigue_streak,111.8,5.8,63,59,7
U101,2025-10-10,FB_A,squat,,,3,5,165.0,deload,-18.75,deload_after_plateau,111.8,5.8,63,59,7
U101,2025-10-13,FB_A,bench,,,3,5,127.5,hold,0.0,hold_at_target_rpe,112.7,6.8,51,62,5
U101,2025-10-13,FB_A,squat,,,3,5,165.0,hold,0.0,hold_at_target_rpe,112.7,6.8,51,62,5
U101,2025-10-15,FB_B,deadlift,,,3,5,231.25,increase,5.0,progress,112.3,6.1,45,58,4
U101,2025-10-15,FB_B,ohp,,,3,5,86.25,hold,0.0,hold_at_target_rpe,112.3,6.1,45,58,4
U101,2025-10-17,FB_A,bench,,,3,5,127.5,hold,0.0,hold_at_target_rpe,112.5,6.9,51,55,4
U101,2025-10-17,FB_A,squat,,,3,5,148.75,deload,-16.25,deload_after_plateau,112.5,6.9,51,55,4
U101,2025-10-20,FB_A,bench,,,3,5,117.5,deload,-10.0,deload_fatigue_streak,112.4,7.1,64,68,9
U101,2025-10-20,FB_A,squat,,,3,5,148.75,hold,0.0,hold_at_target_rpe,112.4,7.1,64,68,9
U101,2025-10-22,FB_B,deadlift,,,3,5,231.25,hold,0.0,hold_at_target_rpe,111.8,6.7,57,52,7
U101,2025-10-22,FB_B,ohp,,,3,5,78.75,deload,-7.5,deload_fatigue_streak,111.8,6.7,57,52,7
U101,2025-10-24,FB_A,bench,,,3,5,111.25,decrease_small,-6.25,hold_at_target_rpe_and_low_readiness,111.7,5.4,50,67,5
U101,2025-10-24,FB_A,squat,,,3,5,141.25,decrease_small,-7.5,hold_at_target_rpe_and_low_readiness,111.7,5.4,50,67,5
U101,2025-10-27,FB_A,bench,,,3,5,100.0,deload,-11.25,deload_after_plateau,113.0,6.6,58,56,6
U101,2025-10-27,FB_A,squat,,,3,5,127.5,deload,-13.75,deload_after_plateau,113.0,6.6,58,56,6
U101,2025-10-29,FB_B,deadlift,,,3,5,220.0,decrease_small,-11.25,hold_at_target_rpe_and_low_readiness,112.2,5.1,58,66,7
U101,2025-10-29,FB_B,ohp,,,3,5,75.0,decrease_small,-3.75,hold_at_target_rpe_and_low_readiness,112.2,5.1,58,66,7
U101,2025-10-31,FB_A,bench,,,3,5,102.5,increase,2.5,progress,112.3,5.6,58,53,4
U101,2025-10-31,FB_A,squat,,,3,5,127.5,hold,0.0,hold_at_target_rpe,112.3,5.6,58,53,4
U101,2025-11-03,FB_A,bench,,,3,5,105.0,increase,2.5,progress,112.3,6.0,45,57,2
U101,2025-11-03,FB_A,squat,,,3,5,127.5,hold,0.0,hold_at_target_rpe,112.3,6.0,45,57,2
U101,2025-11-05,FB_B,deadlift,,,3,5,197.5,deload,-22.5,deload_after_plateau,112.1,6.1,63,62,4
U101,2025-11-05,FB_B,ohp,,,3,5,67.5,deload,-7.5,deload_after_plateau,112.1,6.1,63,62,4
U101,2025-11-07,FB_A,bench,,,3,5,100.0,decrease_small,-5.0,hold_at_target_rpe_and_low_readiness,113.1,6.8,47,60,10
U101,2025-11-07,FB_A,squat,,,3,5,117.5,deload,-10.0,deload_fatigue_streak,113.1,6.8,47,60,10
U101,2025-11-10,FB_A,bench,,,3,5,90.0,deload,-10.0,deload_after_plateau,113.6,6.4,51,63,5
U101,2025-11-10,FB_A,squat,,,3,5,106.25,deload,-11.25,deload_after_plateau,113.6,6.4,51,63,5
U101,2025-11-12,FB_B,deadlift,,,3,5,187.5,decrease_small,-10.0,hold_at_target_rpe_and_low_readiness,113.5,5.3,58,67,9
U101,2025-11-12,FB_B,ohp,,,3,5,66.25,decrease_small,-1.25,progress_and_low_readiness,113.5,5.3,58,67,9
U101,2025-11-14,FB_A,bench,,,3,5,81.25,deload,-8.75,deload_after_plateau,112.8,5.0,55,66,4
