user_id,date,session_type,lift,weight_lb,sets,reps,decision,reason_code,acceptable_min,acceptable_max,bw_lb,readiness,planned_deload,variation,substituted_to
U201,2025-09-01,FB_A,bench,135.0,3,5,estimate,cold_start_estimate,132.5,137.5,189.7,good,False,,
U201,2025-09-01,FB_A,squat,180.0,3,5,estimate,cold_start_estimate,177.5,182.5,189.7,good,False,,
U201,2025-09-03,FB_B,deadlift,207.5,2,5,estimate,cold_start_estimate,202.5,212.5,189.6,ok,False,,
U201,2025-09-03,FB_B,ohp,80.0,3,5,estimate,cold_start_estimate,77.5,82.5,189.6,ok,False,,
U201,2025-09-05,FB_A,bench,135.0,3,5,hold,hold_at_target_rpe,132.5,137.5,189.7,ok,False,,
U201,2025-09-05,FB_A,squat,190.0,3,5,increase,increase_after_exceeding_reps_target,185.0,195.0,189.7,ok,False,,
U201,2025-09-08,FB_A,bench,135.0,3,5,hold,hold_at_target_rpe,132.5,137.5,190.6,ok,False,,
U201,2025-09-08,FB_A,squat,190.0,3,5,hold,hold_at_target_rpe,185.0,195.0,190.6,ok,False,,
U201,2025-09-10,FB_B,deadlift,197.5,2,5,decrease_small,hold_at_target_rpe_and_low_readiness,192.5,202.5,191.3,low,False,,
U201,2025-09-10,FB_B,ohp,75.0,3,5,decrease_small,hold_at_target_rpe_and_low_readiness,72.5,77.5,191.3,low,False,,
U201,2025-09-12,FB_A,bench,127.5,3,5,decrease_small,hold_at_target_rpe_and_low_readiness,125.0,130.0,190.7,low,False,,
U201,2025-09-12,FB_A,squat,180.0,3,5,decrease_small,hold_at_target_rpe_and_low_readiness,177.5,182.5,190.7,low,False,,
U201,2025-09-15,FB_A,bench,125.0,3,5,decrease_small,decrease_small_after_grind_or_miss,122.5,127.5,191.5,ok,False,,
U201,2025-09-15,FB_A,squat,175.0,3,5,decrease_small,decrease_small_after_grind_or_miss,172.5,177.5,191.5,ok,False,,
U201,2025-09-17,FB_B,deadlift,197.5,2,5,hold,hold_at_target_rpe,192.5,202.5,191.6,good,False,,
U201,2025-09-17,FB_B,ohp,72.5,3,5,decrease_small,decrease_small_after_grind_or_miss,70.0,75.0,191.6,good,False,,
U201,2025-09-19,FB_A,bench,120.0,3,5,decrease_small,hold_at_target_rpe_and_low_readiness,117.5,122.5,190.5,low,False,,
U201,2025-09-19,FB_A,squat,165.0,3,5,decrease_small,hold_at_target_rpe_and_low_readiness,162.5,167.5,190.5,low,False,,
U201,2025-09-22,FB_A,bench,112.5,3,5,decrease_small,decrease_small_after_grind_or_miss_and_low_readiness,110.0,115.0,191.7,low,False,,
U201,2025-09-22,FB_A,squat,152.5,3,5,decrease_small,decrease_small_after_grind_or_miss_and_low_readiness,150.0,155.0,191.7,low,False,,
U201,2025-09-24,FB_B,deadlift,187.5,2,5,decrease_small,hold_at_target_rpe_and_low_readiness,182.5,192.5,190.8,low,False,,
