user_id,date,session_type,lift,body_weight_lb,readiness,planned_deload,days_since_exposure,weight_lb,sets,reps,target_rpe,decision,reason_code,adjustment_kind,acceptable_min,acceptable_max,outcome,top_rpe,top_set_reps
U601,2025-09-01,FB_A,bench,170.0,ok,False,,92.5,3,5,7.5,hold,cold_start_estimate,cold_start,90.0,95.0,success,7.7,5
U601,2025-09-01,FB_A,squat,170.0,ok,False,,135.0,3,5,7.5,hold,cold_start_estimate,cold_start,132.5,137.5,success,7.6,5
U601,2025-09-03,FB_B,deadlift,169.3,ok,False,,152.5,2,5,7.5,hold,cold_start_estimate,cold_start,150.0,155.0,success,7.9,5
U601,2025-09-03,FB_B,ohp,169.3,ok,False,,50.0,3,5,7.5,hold,cold_start_estimate,cold_start,47.5,52.5,success,7.8,5
U601,2025-09-05,FB_A,bench,170.6,ok,False,4.0,92.5,3,5,7.5,hold,hold_at_target_or_uncertain,hold,90.0,95.0,success,8.2,5
U601,2025-09-05,FB_A,squat,170.6,ok,False,4.0,135.0,3,5,7.5,hold,hold_at_target_or_uncertain,hold,132.5,137.5,success,7.7,5
U601,2025-09-08,FB_A,bench,170.6,ok,False,3.0,92.5,3,5,7.5,hold,hold_at_target_or_uncertain,hold,90.0,95.0,success,8.2,5
U601,2025-09-08,FB_A,squat,170.6,ok,False,3.0,135.0,3,5,7.5,hold,hold_at_target_or_uncertain,hold,132.5,137.5,success,7.7,5
U601,2025-09-10,FB_B,deadlift,169.6,ok,False,7.0,152.5,2,5,7.5,hold,hold_at_target_or_uncertain,hold,150.0,155.0,success,7.7,5
U601,2025-09-10,FB_B,ohp,169.6,ok,False,7.0,50.0,3,5,7.5,hold,hold_at_target_or_uncertain,hold,47.5,52.5,success,7.5,5
U601,2025-09-12,FB_A,bench,170.6,ok,False,4.0,92.5,3,5,7.5,hold,hold_at_target_or_uncertain,hold,90.0,95.0,success,7.7,5
U601,2025-09-12,FB_A,squat,170.6,ok,False,4.0,135.0,3,5,7.5,hold,hold_at_target_or_uncertain,hold,132.5,137.5,success,7.7,5
U601,2025-09-15,FB_A,bench,170.5,low,False,3.0,87.5,3,5,7.5,decrease_small,hold_at_target_or_uncertain_and_readiness_cut,readiness_cut,85.0,90.0,success,8.4,5
U601,2025-09-15,FB_A,squat,170.5,low,False,3.0,127.5,3,5,7.5,decrease_small,hold_at_target_or_uncertain_and_readiness_cut,readiness_cut,125.0,130.0,success,8.4,5
U601,2025-09-17,FB_B,deadlift,170.1,ok,False,7.0,152.5,2,5,7.5,hold,hold_at_target_or_uncertain,hold,150.0,155.0,success,7.7,5
U601,2025-09-17,FB_B,ohp,170.1,ok,False,7.0,50.0,3,5,7.5,hold,hold_at_target_or_uncertain,hold,47.5,52.5,success,8.0,5
U601,2025-09-19,FB_A,bench,171.0,ok,False,4.0,87.5,3,5,7.5,hold,hold_at_target_or_uncertain,hold,85.0,90.0,success,7.8,5
U601,2025-09-19,FB_A,squat,171.0,ok,False,4.0,127.5,3,5,7.5,hold,hold_at_target_or_uncertain,hold,125.0,130.0,success,7.9,5
U601,2025-09-22,FB_A,bench,171.2,ok,False,3.0,87.5,3,5,7.5,hold,hold_at_target_or_uncertain,hold,85.0,90.0,success,7.9,5
U601,2025-09-22,FB_A,squat,171.2,ok,False,3.0,127.5,3,5,7.5,hold,hold_at_target_or_uncertain,hold,125.0,130.0,success,7.5,5
U601,2025-09-24,FB_B,deadlift,171.6,ok,False,7.0,152.5,2,5,7.5,hold,hold_at_target_or_uncertain,hold,150.0,155.0,success,8.0,5
U601,2025-09-24,FB_B,ohp,171.6,ok,False,7.0,50.0,3,5,7.5,hold,hold_at_target_or_uncertain,hold,47.5,52.5,success,7.7,5
U601,2025-09-26,FB_A,bench,170.4,ok,False,4.0,87.5,3,5,7.5,hold,hold_at_target_or_uncertain,hold,85.0,90.0,success,7.8,5
U601,2025-09-26,FB_A,squat,170.4,ok,False,4.0,127.5,3,5,7.5,hold,hold_at_target_or_uncertain,hold,125.0,130.0,success,8.0,5
U601,2025-09-29,FB_A,bench,171.5,ok,False,3.0,87.5,3,5,7.5,hold,hold_at_target_or_uncertain,hold,85.0,90.0,success,7.9,5
U601,2025-09-29,FB_A,squat,171.5,ok,False,3.0,127.5,3,5,7.5,hold,hold_at_target_or_uncertain,hold,125.0,130.0,success,7.8,5
U601,2025-10-01,FB_B,deadlift,171.7,low,False,7.0,145.0,2,5,7.5,decrease_small,hold_at_target_or_uncertain_and_readiness_cut,readiness_cut,142.5,147.5,success,8.3,5
U601,2025-10-01,FB_B,ohp,171.7,low,False,7.0,47.5,3,5,7.5,decrease_small,hold_at_target_or_uncertain_and_readiness_cut,readiness_cut,45.0,50.0,success,8.1,5
U601,2025-10-03,FB_A,bench,171.9,ok,False,4.0,87.5,3,5,7.5,hold,hold_at_target_or_uncertain,hold,85.0,90.0,success,7.9,5
U601,2025-10-03,FB_A,squat,171.9,ok,False,4.0,127.5,3,5,7.5,hold,hold_at_target_or_uncertain,hold,125.0,130.0,success,8.3,5
U601,2025-10-20,FB_A,bench,171.9,low,False,17.0,75.0,3,5,7.5,decrease_small,break_reset_10pct_and_readiness_cut,readiness_cut,72.5,77.5,success,8.9,5
U601,2025-10-20,FB_A,squat,171.9,low,False,17.0,107.5,3,5,7.5,decrease_small,break_reset_10pct_and_readiness_cut,readiness_cut,105.0,110.0,success,8.3,5
