test_id,category,sex,experience,bw,step,lift,weight_lb,sets,reps,decision,reason,adj
beginnerLP-P1A-00-FB_A-00,progression,male,beginner,176.0,2.5,squat,135.0,3,5,hold,novice_start,none
beginnerLP-P1A-00-FB_A-00,progression,male,beginner,176.0,2.5,bench,95.0,3,5,hold,novice_start,none
beginnerLP-P1A-00-FB_B-01,progression,male,beginner,176.0,2.5,deadlift,155.0,1,5,hold,novice_start,none
beginnerLP-P1A-00-FB_B-01,progression,male,beginner,176.0,2.5,ohp,65.0,3,5,hold,novice_start,none
beginnerLP-P1A-00-FB_A-02,progression,male,beginner,176.0,2.5,squat,140.0,3,5,increase,novice_linear_progression,none
beginnerLP-P1A-00-FB_A-02,progression,male,beginner,176.0,2.5,bench,97.5,3,5,increase,novice_linear_progression,none
beginnerLP-P1A-01-FB_A-00,progression,male,beginner,176.0,2.5,squat,145.0,3,5,increase,novice_linear_progression,none
beginnerLP-P1A-01-FB_A-00,progression,male,beginner,176.0,2.5,bench,100.0,3,5,increase,novice_linear_progression,none
beginnerLP-P1A-01-FB_B-01,progression,male,beginner,176.0,2.5,deadlift,160.0,1,5,increase,novice_linear_progression,none
beginnerLP-P1A-01-FB_B-01,progression,male,beginner,176.0,2.5,ohp,67.5,3,5,increase,novice_linear_progression,none
beginnerLP-P1A-01-FB_A-02,progression,male,beginner,176.0,2.5,squat,150.0,3,5,increase,novice_linear_progression,none
beginnerLP-P1A-01-FB_A-02,progression,male,beginner,176.0,2.5,bench,102.5,3,5,increase,novice_linear_progression,none
beginnerLP-P1A-02-FB_A-00,progression,male,beginner,176.0,2.5,squat,155.0,3,5,increase,novice_linear_progression,none
beginnerLP-P1A-02-FB_A-00,progression,male,beginner,176.0,2.5,bench,105.0,3,5,increase,novice_linear_progression,none
beginnerLP-P1A-02-FB_B-01,progression,male,beginner,176.0,2.5,deadlift,165.0,1,5,increase,novice_linear_progression,none
beginnerLP-P1A-02-FB_B-01,progression,male,beginner,176.0,2.5,ohp,70.0,3,5,increase,novice_linear_progression,none
beginnerLP-P1A-02-FB_A-02,progression,male,beginner,176.0,2.5,squat,160.0,3,5,increase,novice_linear_progression,none
beginnerLP-P1A-02-FB_A-02,progression,male,beginner,176.0,2.5,bench,107.5,3,5,increase,novice_linear_progression,none
beginnerLP-P1A-03-FB_A-00,progression,male,beginner,176.0,2.5,squat,165.0,3,5,increase,novice_linear_progression,none
